Date,Well_ID,GL_Type,Choke_1_64in,THP_bar,THT_C,Pres_DS_Choke_bar,Temp_DS_Choke_C,CHP_bar,CHT_C,TAP_bar,BCP_bar,Bottom_Press_bar,Bottom_Temp_C,Water_pct,Emulsion_pct,Sand_pct,BSW_pct,H2S_ppm
2000-06-26 06:00:00,Well_278,Short String GL,20.0,13.5,,7.5,27.0,82.5,,35.9,7.9,,,28.0,0.0,0.02,28.02,0.0
2000-06-26 08:00:00,Well_278,Short String GL,20.0,22.0,,7.5,27.0,82.5,,35.9,7.9,,,25.0,0.0,0.02,25.02,0.0
2000-06-26 10:00:00,Well_278,Short String GL,20.0,18.0,,7.5,27.0,82.5,,35.9,7.9,,,22.0,0.0,0.01,22.01,0.0
2000-06-26 12:00:00,Well_278,Short String GL,20.0,16.0,,7.5,27.0,82.5,,35.9,7.9,,,29.0,0.0,0.02,29.02,0.0
2000-06-26 14:00:00,Well_278,Short String GL,20.0,24.0,,7.5,28.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-06-26 16:00:00,Well_278,Short String GL,20.0,33.5,,7.5,28.0,82.5,,35.9,7.9,,,23.0,0.0,0.01,23.01,0.0
2000-06-26 18:00:00,Well_278,Short String GL,20.0,19.5,,7.5,28.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-26 20:00:00,Well_278,Short String GL,20.0,24.5,,7.5,27.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-26 22:00:00,Well_278,Short String GL,20.0,30.0,,7.5,26.0,82.5,,35.9,7.9,,,29.0,0.0,0.01,29.01,0.0
2000-06-27 00:00:00,Well_278,Short String GL,20.0,22.5,,7.5,26.0,82.5,,35.9,7.9,,,27.0,0.0,0.01,27.01,0.0
2000-06-27 02:00:00,Well_278,Short String GL,20.0,23.0,,7.5,26.0,82.5,,35.9,7.9,,,22.0,0.0,0.01,22.01,0.0
2000-06-27 04:00:00,Well_278,Short String GL,20.0,23.5,,7.5,26.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-27 06:00:00,Well_278,Short String GL,20.0,27.0,,7.5,26.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-27 08:00:00,Well_278,Short String GL,20.0,22.0,,7.5,25.0,82.5,,35.9,7.9,,,33.0,0.0,0.02,33.02,0.0
2000-06-27 10:00:00,Well_278,Short String GL,20.0,23.0,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-27 12:00:00,Well_278,Short String GL,20.0,24.5,,7.5,24.0,82.5,,35.9,7.9,,,26.0,0.0,0.01,26.01,0.0
2000-06-27 14:00:00,Well_278,Short String GL,20.0,29.0,,7.5,24.0,82.5,,35.9,7.9,,,31.0,0.0,0.02,31.02,0.0
2000-06-27 16:00:00,Well_278,Short String GL,20.0,29.0,,7.5,24.0,82.5,,35.9,7.9,,,27.0,0.0,0.01,27.01,0.0
2000-06-27 18:00:00,Well_278,Short String GL,20.0,36.0,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-27 20:00:00,Well_278,Short String GL,20.0,29.0,,7.5,24.0,82.5,,35.9,7.9,,,32.0,0.0,0.02,32.02,0.0
2000-06-27 22:00:00,Well_278,Short String GL,20.0,35.5,,7.5,25.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-28 00:00:00,Well_278,Short String GL,20.0,20.5,,7.5,25.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-28 02:00:00,Well_278,Short String GL,20.0,34.5,,7.5,25.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-28 04:00:00,Well_278,Short String GL,20.0,27.5,,7.5,25.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-28 06:00:00,Well_278,Short String GL,20.0,36.0,,7.5,25.0,82.5,,35.9,7.9,,,32.0,0.0,0.01,32.01,0.0
2000-06-28 08:00:00,Well_278,Short String GL,20.0,15.5,,7.5,24.0,82.5,,35.9,7.9,,,20.0,0.0,0.01,20.01,0.0
2000-06-28 10:00:00,Well_278,Short String GL,20.0,32.5,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
2000-06-28 12:00:00,Well_278,Short String GL,20.0,16.0,,7.5,24.0,82.5,,35.9,7.9,,,24.0,0.0,0.01,24.01,0.0
2000-06-28 14:00:00,Well_278,Short String GL,20.0,20.5,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-28 16:00:00,Well_278,Short String GL,20.0,9.0,,7.5,24.0,82.5,,35.9,7.9,,,,,,,0.0
2000-06-28 18:00:00,Well_278,Short String GL,20.0,21.5,,7.5,24.0,82.5,,35.9,7.9,,,25.0,0.0,0.01,25.01,0.0
2000-06-28 20:00:00,Well_278,Short String GL,20.0,16.0,,7.5,24.0,82.5,,35.9,7.9,,,28.0,0.0,0.01,28.01,0.0
2000-06-28 22:00:00,Well_278,Short String GL,20.0,20.5,,7.5,24.0,82.5,,35.9,7.9,,,30.0,0.0,0.01,30.01,0.0
